id,sales_date,producto,cantidad,precio_unitario,sales_amount
1,2025-01-01,Martillo,3,4500,12811.21
2,2025-01-01,Taladro,1,35000,36236.9
3,2025-01-01,Clavos (kg),1,2800,2850.68
4,2025-01-01,Martillo,1,4500,4134.33
5,2025-01-02,Clavos (kg),5,2800,12674.3
6,2025-01-02,Pinza,5,2200,10822.94
7,2025-01-02,Nivel,5,4200,20068.4
8,2025-01-02,Martillo,2,4500,9356.65
9,2025-01-02,Sierra,3,5800,16201.07
10,2025-01-02,Sierra,1,5800,5327.59
11,2025-01-03,Sierra,3,5800,17760.97
12,2025-01-03,Martillo,4,4500,18130.42
13,2025-01-03,Cinta métrica,1,1500,1515.61
14,2025-01-03,Tornillos (caja),3,1200,3655.69
15,2025-01-04,Martillo,2,4500,9491.52
16,2025-01-04,Destornillador,2,1800,3863.87
17,2025-01-04,Cinta métrica,3,1500,4458.07
18,2025-01-04,Sierra,2,5800,11298.82
19,2025-01-05,Llave inglesa,1,3500,3576.39
20,2025-01-05,Taladro,5,35000,183019.44
21,2025-01-05,Taladro,4,35000,136624.75
22,2025-01-05,Clavos (kg),2,2800,5806.77
23,2025-01-05,Martillo,2,4500,9579.24
24,2025-01-05,Sierra,4,5800,22122.32
25,2025-01-06,Tornillos (caja),3,1200,3393.09
26,2025-01-06,Nivel,4,4200,18092.54
27,2025-01-06,Nivel,2,4200,8005.0
28,2025-01-06,Pinza,5,2200,11085.75
29,2025-01-06,Tornillos (caja),4,1200,5181.91
30,2025-01-06,Cinta métrica,3,1500,4247.39
31,2025-01-07,Clavos (kg),4,2800,10283.64
32,2025-01-07,Martillo,1,4500,4187.56
33,2025-01-07,Taladro,4,35000,142699.45
34,2025-01-07,Cinta métrica,4,1500,6115.07
35,2025-01-07,Nivel,5,4200,19955.94
36,2025-01-08,Martillo,1,4500,4663.54
37,2025-01-08,Clavos (kg),3,2800,8851.25
38,2025-01-08,Sierra,1,5800,5560.46
39,2025-01-08,Taladro,4,35000,126090.87
40,2025-01-08,Llave inglesa,5,3500,18416.87
